timestamp,bucket_values
2023-07-01T07:30:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.006, 0.009, 0.047, 0.176, 0.25, 0.222, 0.148, 0.087, 0.036, 0.011, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-03T06:04:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.01, 0.065, 0.233, 0.242, 0.22, 0.129, 0.076, 0.013, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-04T07:05:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.003, 0.008, 0.052, 0.138, 0.158, 0.157, 0.152, 0.126, 0.088, 0.067, 0.033, 0.01, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-05T03:42:00,"[0.0, 0.0, 0.0, 0.0, 0.003, 0.008, 0.01, 0.033, 0.132, 0.23, 0.239, 0.179, 0.098, 0.045, 0.017, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-08T07:39:00,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.006, 0.009, 0.019, 0.069, 0.145, 0.234, 0.23, 0.155, 0.079, 0.031, 0.01, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-09T08:28:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.006, 0.006, 0.014, 0.073, 0.115, 0.153, 0.148, 0.148, 0.141, 0.106, 0.058, 0.023, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-10T07:41:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.006, 0.01, 0.024, 0.101, 0.204, 0.212, 0.176, 0.136, 0.08, 0.032, 0.009, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-11T06:47:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.005, 0.014, 0.09, 0.206, 0.28, 0.215, 0.113, 0.046, 0.018, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-12T07:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.006, 0.043, 0.133, 0.156, 0.116, 0.098, 0.112, 0.119, 0.106, 0.067, 0.027, 0.009, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-14T07:41:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.005, 0.008, 0.018, 0.059, 0.159, 0.229, 0.227, 0.152, 0.078, 0.039, 0.015, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-15T07:50:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.004, 0.009, 0.034, 0.094, 0.16, 0.181, 0.191, 0.144, 0.097, 0.055, 0.018, 0.006, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-16T07:54:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.007, 0.006, 0.014, 0.063, 0.183, 0.216, 0.17, 0.127, 0.097, 0.068, 0.035, 0.011, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-18T07:54:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.005, 0.007, 0.013, 0.055, 0.151, 0.259, 0.242, 0.156, 0.069, 0.028, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-19T02:18:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.005, 0.026, 0.192, 0.418, 0.24, 0.083, 0.025, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-19T04:57:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.005, 0.018, 0.12, 0.264, 0.182, 0.147, 0.109, 0.075, 0.038, 0.021, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-19T07:20:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.016, 0.094, 0.205, 0.153, 0.155, 0.142, 0.117, 0.061, 0.029, 0.015, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-20T02:11:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.01, 0.1, 0.348, 0.289, 0.156, 0.064, 0.017, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-07-20T07:39:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.007, 0.054, 0.182, 0.192, 0.187, 0.162, 0.109, 0.058, 0.028, 0.011, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"