timestamp,average heart rate variability milliseconds,non rem heart rate beats per minute,entropy,deep sleep root mean square of successive differences milliseconds
2023-04-13T00:00:00Z,40.367,65.771,2.777,43.068
2023-04-14T00:00:00Z,39.554,68.699,2.969,35.501
2023-04-15T00:00:00Z,40.701,67.489,3.016,46.774
2023-04-16T00:00:00Z,52.574,61.608,2.797,52.735
2023-04-17T00:00:00Z,51.179,63.296,2.857,55.296
2023-04-18T00:00:00Z,44.482,64.563,2.617,47.425
2023-04-19T00:00:00Z,36.544,63.956,2.7,22.768
2023-04-20T00:00:00Z,44.801,62.754,2.672,61.207
2023-04-21T00:00:00Z,36.788,67.533,2.565,45.191
2023-04-22T00:00:00Z,44.655,63.831,2.552,47.948
2023-04-23T00:00:00Z,57.269,61.738,2.871,52.116
2023-04-24T00:00:00Z,72.169,57.34,3.073,75.336
2023-04-25T00:00:00Z,40.252,65.957,2.656,44.369
2023-04-26T00:00:00Z,41.809,64.888,2.544,54.756
2023-04-27T00:00:00Z,37.435,68.11,2.535,35.779
2023-04-28T00:00:00Z,48.902,67.481,3.15,48.651
2023-04-29T00:00:00Z,40.975,62.551,2.718,33.026
2023-04-30T00:00:00Z,72.583,57.766,3.223,76.663
2023-05-01T00:00:00Z,54.661,58.485,2.914,66.809
2023-05-02T00:00:00Z,40.902,61.168,2.697,49.669
2023-05-03T00:00:00Z,56.557,61.381,2.855,50.256
2023-05-04T00:00:00Z,32.06,71.74,2.794,30.513
2023-05-05T00:00:00Z,51.081,62.399,2.897,54.721
2023-05-06T00:00:00Z,46.206,60.672,2.746,56.736
2023-05-07T00:00:00Z,62.661,59.088,2.934,60.912
2023-05-08T00:00:00Z,65.09,59.553,3.117,49.76
2023-05-09T00:00:00Z,18.389,61.879,2.074,30.128
2023-05-10T00:00:00Z,40.531,59.727,2.488,52.932
2023-05-12T00:00:00Z,41.604,60.12,2.571,47.217
2023-05-13T00:00:00Z,51.995,59.761,2.757,53.99
2023-05-14T00:00:00Z,52.808,61.099,2.787,42.564
2023-05-15T00:00:00Z,53.105,59.8,2.808,65.098
2023-05-16T00:00:00Z,57.688,58.992,2.958,61.18
2023-05-17T00:00:00Z,61.183,59.221,2.912,47.519
2023-05-18T00:00:00Z,47.942,64.462,2.739,46.993
2023-05-19T00:00:00Z,61.546,55.407,3.013,51.366
2023-05-20T00:00:00Z,46.84,63.457,2.877,42.729
2023-05-21T00:00:00Z,42.252,67.213,2.719,43.531
2023-05-22T00:00:00Z,34.219,61.142,2.354,38.54
2023-05-23T00:00:00Z,23.659,62.139,2.045,19.817
2023-05-24T00:00:00Z,34.627,67.044,2.775,45.212
2023-05-25T00:00:00Z,44.123,59.569,2.816,32.937
2023-05-26T00:00:00Z,46.473,63.5,2.597,44.587
2023-05-30T00:00:00Z,36.753,71.773,2.583,36.877
2023-05-31T00:00:00Z,47.097,63.676,2.856,53.487
2023-06-01T00:00:00Z,54.466,62.85,2.795,43.913
2023-06-02T00:00:00Z,52.237,60.653,2.996,64.668
2023-06-03T00:00:00Z,56.068,62.489,2.918,48.024
2023-06-04T00:00:00Z,47.835,69.51,2.802,40.12
2023-06-05T00:00:00Z,51.903,61.265,2.822,56.385
2023-06-06T00:00:00Z,51.808,59.532,2.784,61.947
2023-06-07T00:00:00Z,51.275,61.224,2.84,59.945
2023-06-08T00:00:00Z,47.411,62.943,2.683,58.139
2023-06-09T00:00:00Z,53.011,61.007,2.841,53.886
2023-06-10T00:00:00Z,45.215,65.956,2.829,37.458
2023-06-11T00:00:00Z,56.992,61.453,2.875,50.65
2023-06-12T00:00:00Z,53.582,60.88,2.82,68.593
2023-06-13T00:00:00Z,47.808,63.151,2.967,45.941
2023-06-14T00:00:00Z,45.538,61.643,2.962,41.157
2023-06-15T00:00:00Z,34.473,74.615,3.027,29.335
2023-06-16T00:00:00Z,49.88,61.258,2.853,44.236
2023-06-17T00:00:00Z,46.25,63.542,2.766,52.737
2023-06-18T00:00:00Z,44.786,63.878,2.671,52.845
2023-06-19T00:00:00Z,52.34,62.355,3.119,52.795
2023-06-20T00:00:00Z,51.835,62.139,2.829,50.998
2023-06-21T00:00:00Z,46.857,63.159,2.633,50.322
2023-06-22T00:00:00Z,43.091,67.172,3.156,47.463
2023-06-23T00:00:00Z,43.576,65.689,2.838,41.687
2023-06-24T00:00:00Z,48.384,63.671,3.025,67.568
2023-06-25T00:00:00Z,51.563,63.192,2.945,58.935
2023-06-26T00:00:00Z,56.925,61.506,2.929,53.556
2023-06-27T00:00:00Z,46.818,61.344,2.712,48.137
2023-06-28T00:00:00Z,39.053,67.723,2.628,56.71
2023-06-29T00:00:00Z,45.262,68.529,3.277,36.118
2023-06-30T00:00:00Z,45.611,63.729,2.95,44.386
2023-07-01T00:00:00Z,38.76,69.854,2.782,27.854
2023-07-03T00:00:00Z,34.169,76.693,2.578,21.127
2023-07-04T00:00:00Z,56.731,67.364,3.139,42.611
2023-07-05T00:00:00Z,42.9,72.726,2.682,52.966
2023-07-08T00:00:00Z,46.797,67.18,2.733,85.417
2023-07-09T00:00:00Z,52.905,67.181,3.078,41.284
2023-07-10T00:00:00Z,47.011,64.24,2.956,55.614
2023-07-11T00:00:00Z,30.474,73.081,2.657,22.968
2023-07-12T00:00:00Z,52.35,70.162,3.273,32.419
2023-07-14T00:00:00Z,54.426,63.41,2.907,54.706
2023-07-15T00:00:00Z,54.609,62.886,3.005,45.718
2023-07-16T00:00:00Z,37.771,70.58,3.054,33.673
2023-07-18T00:00:00Z,45.973,65.467,2.781,50.152
2023-07-19T00:00:00Z,42.651,70.382,3.062,31.142
2023-07-20T00:00:00Z,43.27,69.625,2.904,35.948
