timestamp,steps
2022-12-05T06:56:00Z,19
2022-12-05T06:57:00Z,18
2022-12-05T06:58:00Z,23
2022-12-05T07:11:00Z,9
2022-12-05T07:12:00Z,39
2022-12-05T07:13:00Z,30
2022-12-05T07:14:00Z,13
2022-12-05T14:45:00Z,14
2022-12-05T15:02:00Z,15
2022-12-05T15:03:00Z,9
2022-12-05T15:04:00Z,18
2022-12-05T15:05:00Z,7
2022-12-05T15:08:00Z,6
2022-12-05T15:21:00Z,9
2022-12-05T15:22:00Z,25
2022-12-05T15:23:00Z,10
2022-12-05T15:24:00Z,19
2022-12-05T15:26:00Z,4
2022-12-05T15:28:00Z,11
2022-12-05T15:29:00Z,9
2022-12-05T15:30:00Z,55
2022-12-05T15:31:00Z,49
2022-12-05T15:32:00Z,42
2022-12-05T15:33:00Z,15
2022-12-05T15:38:00Z,9
2022-12-05T15:42:00Z,26
2022-12-05T15:43:00Z,51
2022-12-05T15:44:00Z,25
2022-12-05T15:45:00Z,29
2022-12-05T15:46:00Z,39
2022-12-05T15:47:00Z,20
2022-12-05T15:48:00Z,22
2022-12-05T15:49:00Z,13
2022-12-05T15:50:00Z,27
2022-12-05T15:51:00Z,26
2022-12-05T15:58:00Z,32
2022-12-05T15:59:00Z,12
2022-12-05T16:00:00Z,34
2022-12-05T16:01:00Z,65
2022-12-05T16:02:00Z,36
2022-12-05T16:03:00Z,22
2022-12-05T16:05:00Z,29
2022-12-05T16:06:00Z,20
2022-12-05T16:07:00Z,62
2022-12-05T16:08:00Z,24
2022-12-05T16:09:00Z,4
2022-12-05T16:10:00Z,48
2022-12-05T16:11:00Z,59
2022-12-05T16:12:00Z,32
2022-12-05T16:18:00Z,4
2022-12-05T16:20:00Z,24
2022-12-05T16:21:00Z,55
2022-12-05T16:22:00Z,106
2022-12-05T16:23:00Z,58
2022-12-05T16:24:00Z,67
2022-12-05T16:25:00Z,76
2022-12-05T16:26:00Z,13
2022-12-05T16:28:00Z,17
2022-12-05T16:29:00Z,25
2022-12-05T16:35:00Z,27
2022-12-05T16:49:00Z,6
2022-12-05T16:53:00Z,10
2022-12-05T17:08:00Z,7
2022-12-05T17:09:00Z,41
2022-12-05T17:15:00Z,7
2022-12-05T17:16:00Z,43
2022-12-05T17:17:00Z,12
2022-12-05T17:18:00Z,6
2022-12-05T17:19:00Z,9
2022-12-05T17:20:00Z,52
2022-12-05T17:21:00Z,96
2022-12-05T17:22:00Z,32
2022-12-05T17:23:00Z,33
2022-12-05T17:25:00Z,17
2022-12-05T17:29:00Z,12
2022-12-05T17:31:00Z,6
2022-12-05T17:34:00Z,14
2022-12-05T17:52:00Z,7
2022-12-05T17:54:00Z,6
2022-12-05T18:03:00Z,7
2022-12-05T18:12:00Z,4
2022-12-05T18:13:00Z,9
2022-12-05T18:14:00Z,4
2022-12-05T18:15:00Z,49
2022-12-05T18:16:00Z,87
2022-12-05T18:17:00Z,49
2022-12-05T18:18:00Z,26
2022-12-05T18:19:00Z,61
2022-12-05T18:20:00Z,5
2022-12-05T18:21:00Z,18
2022-12-05T18:22:00Z,39
2022-12-05T18:23:00Z,25
2022-12-05T18:24:00Z,35
2022-12-05T18:25:00Z,92
2022-12-05T18:26:00Z,72
2022-12-05T18:27:00Z,77
2022-12-05T18:28:00Z,44
2022-12-05T18:29:00Z,14
2022-12-05T18:30:00Z,22
2022-12-05T18:31:00Z,33
2022-12-05T18:32:00Z,57
2022-12-05T18:33:00Z,47
2022-12-05T18:34:00Z,34
2022-12-05T18:35:00Z,43
2022-12-05T18:36:00Z,70
2022-12-05T18:37:00Z,63
2022-12-05T18:39:00Z,16
2022-12-05T18:41:00Z,64
2022-12-05T18:42:00Z,56
2022-12-05T18:43:00Z,98
2022-12-05T18:44:00Z,139
2022-12-05T18:45:00Z,108
2022-12-05T18:46:00Z,133
2022-12-05T18:47:00Z,91
2022-12-05T18:48:00Z,99
2022-12-05T18:49:00Z,101
2022-12-05T18:50:00Z,94
2022-12-05T18:51:00Z,95
2022-12-05T18:52:00Z,136
2022-12-05T18:53:00Z,96
2022-12-05T18:54:00Z,99
2022-12-05T18:55:00Z,106
2022-12-05T18:56:00Z,102
2022-12-05T18:57:00Z,110
2022-12-05T18:58:00Z,128
2022-12-05T18:59:00Z,100
2022-12-05T19:00:00Z,97
2022-12-05T19:01:00Z,97
2022-12-05T19:02:00Z,100
2022-12-05T19:03:00Z,108
2022-12-05T19:04:00Z,101
2022-12-05T19:05:00Z,99
2022-12-05T19:06:00Z,98
2022-12-05T19:07:00Z,99
2022-12-05T19:08:00Z,100
2022-12-05T19:09:00Z,107
2022-12-05T19:10:00Z,114
2022-12-05T19:11:00Z,110
2022-12-05T19:12:00Z,97
2022-12-05T19:13:00Z,101
2022-12-05T19:14:00Z,99
2022-12-05T19:15:00Z,39
2022-12-05T19:16:00Z,27
2022-12-05T19:17:00Z,35
2022-12-05T19:18:00Z,59
2022-12-05T19:19:00Z,80
2022-12-05T19:20:00Z,106
2022-12-05T19:21:00Z,44
2022-12-05T19:22:00Z,19
2022-12-05T19:41:00Z,10
2022-12-05T19:43:00Z,27
2022-12-05T19:44:00Z,9
2022-12-05T20:08:00Z,4
2022-12-05T20:09:00Z,21
2022-12-05T20:10:00Z,53
2022-12-05T20:11:00Z,7
2022-12-05T20:13:00Z,5
2022-12-05T20:15:00Z,91
2022-12-05T20:16:00Z,5
2022-12-05T20:20:00Z,16
2022-12-05T20:21:00Z,25
2022-12-05T20:22:00Z,39
2022-12-05T20:25:00Z,14
2022-12-05T20:27:00Z,13
2022-12-05T20:28:00Z,12
2022-12-05T20:30:00Z,22
2022-12-05T20:31:00Z,4
2022-12-05T20:32:00Z,19
2022-12-05T20:33:00Z,6
2022-12-05T20:34:00Z,9
2022-12-05T20:35:00Z,32
2022-12-05T20:36:00Z,9
2022-12-05T20:37:00Z,33
2022-12-05T20:38:00Z,10
2022-12-05T20:39:00Z,25
2022-12-05T20:40:00Z,23
2022-12-05T20:41:00Z,9
2022-12-05T20:42:00Z,29
2022-12-05T20:43:00Z,76
2022-12-05T20:45:00Z,20
2022-12-05T20:46:00Z,103
2022-12-05T20:47:00Z,53
2022-12-05T20:48:00Z,23
2022-12-05T20:49:00Z,23
2022-12-05T20:51:00Z,10
2022-12-05T20:52:00Z,7
2022-12-05T21:37:00Z,5
2022-12-05T21:40:00Z,24
2022-12-05T21:41:00Z,81
2022-12-05T21:42:00Z,94
2022-12-05T21:43:00Z,94
2022-12-05T21:44:00Z,91
2022-12-05T21:45:00Z,84
2022-12-05T21:46:00Z,102
2022-12-05T21:47:00Z,30
2022-12-05T21:48:00Z,97
2022-12-05T21:49:00Z,108
2022-12-05T21:50:00Z,30
2022-12-05T22:00:00Z,27
2022-12-05T22:01:00Z,80
2022-12-05T22:02:00Z,45
2022-12-05T22:03:00Z,31
2022-12-05T22:09:00Z,8
2022-12-05T22:10:00Z,16
2022-12-05T22:44:00Z,10
2022-12-05T22:45:00Z,8
2022-12-05T22:46:00Z,6
2022-12-05T23:02:00Z,21
2022-12-05T23:04:00Z,15
2022-12-05T23:08:00Z,7
2022-12-05T23:09:00Z,33
