type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-05-31T22:40:30,2023-06-01T06:56:30,496,31.60141129032258,-350.1655954775797,1037.718577129417,0.4994732659057677,1.3417173561407065
IDT,2023-06-01T22:26:30,2023-06-02T06:41:30,495,32.61939393939394,145.83735889955278,477.12055606220383,0.5041814732787747,1.3299858712242543
IDT,2023-06-02T22:39,2023-06-03T07:31,530,32.67188679245283,183.9703034682061,883.4497406755108,0.47547082489876963,1.3314186381476585
IDT,2023-06-03T21:48:30,2023-06-04T07:29:30,581,32.212220309810675,-55.29377212192412,863.8055442953482,0.4660138388151759,1.3140294837864273
IDT,2023-06-05T00:02:30,2023-06-05T07:00:30,418,33.10071770334928,331.61084897252476,559.1657539624721,0.46497761003991744,1.326018491514899
IDT,2023-06-06T00:27:30,2023-06-06T06:34:30,367,32.87411444141689,201.6083044770403,661.7558812918141,0.480383489846213,1.3129732453707905
IDT,2023-06-07T00:18,2023-06-07T07:05:30,408,32.80661764705882,196.59261097175295,950.2792271780781,0.4922364612107454,1.319653206677532
IDT,2023-06-07T23:26:30,2023-06-08T07:01:30,455,31.493406593406593,-378.2717206074831,925.0626255194657,0.5150226292599274,1.3209581356196367
IDT,2023-06-08T23:14:30,2023-06-09T07:14:30,478,31.34163179916318,-469.94149989093785,711.1603835141286,0.5274094972241635,1.3048335758350686
IDT,2023-06-09T23:47,2023-06-10T08:03,486,31.31687242798354,-485.9468208092476,1145.4952935280744,0.5462376796489431,1.3105150321509809
IDT,2023-06-11T00:20,2023-06-11T08:11,470,32.6436170212766,146.09198113207276,692.0662062790943,0.5378345738705677,1.2969049500479832
IDT,2023-06-12T00:14:30,2023-06-12T07:32:30,438,32.4810502283105,62.23776722090406,532.9964147685096,0.5353891317190937,1.2928533505447446
IDT,2023-06-12T22:50,2023-06-13T07:40:30,526,32.21216730038023,-66.69026128265978,418.1176253799349,0.5061157727767279,1.2529792499646581
IDT,2023-06-13T23:08:30,2023-06-14T07:56:30,527,31.65901328273245,-355.0766509433997,1053.8945883209817,0.5202460342070969,1.255952957629697
IDT,2023-06-14T23:54:30,2023-06-15T07:56:30,471,32.52314225053079,48.933802816900425,495.80164980492555,0.5226162395469689,1.2542093533727368
IDT,2023-06-16T00:08:30,2023-06-16T08:05:30,477,32.17169811320755,-76.83750000000146,420.88528596702963,0.5215240850981876,1.2333733440227714
IDT,2023-06-16T23:31:30,2023-06-17T07:52,500,32.434400000000004,7.575586854460198,686.4830990326591,0.522496465838939,1.242387945053465
IDT,2023-06-17T23:07:30,2023-06-18T09:45:30,638,32.740595611285265,205.019248826291,699.5008501401171,0.5217833817363337,1.238063586958154
IDT,2023-06-18T23:28,2023-06-19T07:59:30,511,32.149119373776905,-93.8521226415105,802.3743266621605,0.4946409495799426,1.2370816508392863
IDT,2023-06-19T23:34:30,2023-06-20T06:51,436,32.06743119266055,-115.69339622641746,474.2969769046176,0.4876086527128513,1.238989605032434
IDT,2023-06-20T22:59,2023-06-21T06:53:30,475,32.358105263157896,12.028066037733879,578.9408723633969,0.48278887331653153,1.2289497596401622
IDT,2023-06-21T22:56,2023-06-22T07:49,533,31.260225140712944,-571.6733490566039,1146.8495272451546,0.5173383249836041,1.2346827464597794
IDT,2023-06-22T23:14,2023-06-23T07:33:30,500,32.2836,-24.591509433965257,1010.4750046724221,0.5143649809014827,1.2376491357833543
IDT,2023-06-23T23:35,2023-06-24T07:58,501,32.77045908183633,206.58926315789358,481.0706659723073,0.5250420910752746,1.2260528878728532
IDT,2023-06-24T23:49:30,2023-06-25T08:09:30,474,31.656540084388187,-332.54189473684164,1385.6445395677583,0.5209554812150929,1.2492905266840344
IDT,2023-06-26T03:59,2023-06-26T08:06:30,248,33.06935483870967,168.80809290832804,372.07101706182584,0.5350701360346144,1.2500927779552735
IDT,2023-06-26T23:05:30,2023-06-27T07:58:30,507,32.347731755424064,-5.259368421055115,1063.6794496176299,0.5256624884671707,1.2581660743813663
IDT,2023-06-28T00:19:30,2023-06-28T07:47:30,448,32.614508928571425,101.17268396342843,889.6637097775238,0.5204201735392304,1.2639229826035325
IDT,2023-06-28T23:13:30,2023-06-29T07:40,506,32.36660079051383,2.1493684210545325,1076.6546833687462,0.5198733273171371,1.2648111216873903
IDT,2023-06-29T23:34:30,2023-06-30T07:22,467,32.25546038543897,-45.51294383888853,490.20918213459663,0.5191718938924353,1.2611433898295545
IDT,2023-07-01T00:54:30,2023-07-01T07:30:30,378,31.823809523809523,-200.0031965119906,831.2092026851606,0.5108149242681753,1.2613688054673873